name,elevation_ft,iso_country,iso_region,continent
Total RF Heliport,11.0,US,US-PA,
Aero B Ranch Airport,3435.0,US,US-KS,
Lowell Field,450.0,US,US-AK,
Epps Airpark,820.0,US,US-AL,
Katmai Lodge Airport,80.0,US,US-AK,
Newport Hospital & Clinic Heliport,237.0,US,US-AR,
Fulton Airport,1100.0,US,US-OK,
Cordes Airport,3810.0,US,US-AZ,
Goldstone (GTS) Airport,3038.0,US,US-CA,
Williams Ag Airport,87.0,US,US-CA,
Kitchen Creek Helibase Heliport,3350.0,US,US-CA,
Cass Field,4830.0,US,US-CO,
Grass Patch Airport,53.0,US,US-FL,
Ringhaver Heliport,25.0,US,US-FL,
River Oak Airport,35.0,US,US-FL,
Lt World Airport,700.0,US,US-GA,
Caffrey Heliport,957.0,US,US-GA,
Kaupulehu Heliport,43.0,US,US-HI,OC
Delta Shores Airport,2064.0,US,US-ID,
Goltl Airport,3359.0,US,US-KS,
Bailey Generation Station Heliport,600.0,US,US-IN,
Hammer Airport,840.0,US,US-IL,
St Mary Medical Center Heliport,634.0,US,US-IN,
Hayenga's Cant Find Farms Airport,820.0,US,US-IL,
Hayden Farm Airport,1100.0,US,US-KS,
Robbins Roost Airport,1265.0,US,US-KY,
Shell Chemical East Site Heliport,15.0,US,US-LA,
Ac & R Components Heliport,600.0,US,US-IL,
Lejeune Airport,12.0,US,US-LA,
Slater Field,45.0,US,US-MD,
Dow Chemical Heliport,588.0,US,US-MI,
Battle Lake Municipal Airport,1365.0,US,US-MN,
Cooper Flying Service Airport,970.0,US,US-MO,
Livingston Healthcare Heliport,4465.0,US,US-MT,
Bucks Airport,105.0,US,US-NJ,
North Raleigh Airport,348.0,US,US-NC,
Colgate-Piscataway Heliport,78.0,US,US-NJ,
Cliche Cove Seaplane Base,96.0,US,US-NY,
Rodanthe Dare County Heliport,8.0,US,US-NC,
Weiss Airfield,1000.0,US,US-NY,
Exit 3 Airport,785.0,US,US-OH,
Miami Valley Hospital Heliport,905.0,US,US-OH,
Gull Bay Landing Airport,960.0,US,US-OK,
Steel Systems Heliport,195.0,US,US-OR,
R J D Heliport,402.0,US,US-PA,
Ferrell Field,1301.0,US,US-PA,
Thomas Field,815.0,US,US-PA,
McKenzie Bridge State Airport,1620.0,US,US-OR,
Flying O Airport,150.0,US,US-SC,
Homan Field,1590.0,US,US-SD,
SW Region FAA Heliport,598.0,US,US-TX,
Tcjc-Northeast Campus Heliport,600.0,US,US-TX,
Ragsdale Road Airport,1100.0,US,US-TN,
Alpine Range Airport,670.0,US,US-TX,
San Jacinto Methodist Hospital Heliport,19.0,US,US-TX,
Clear Creek Ranch Airport,6138.0,US,US-UT,
Vaughan Airport,551.0,US,US-VA,
Groundhog Mountain Airport,2680.0,US,US-VA,
Lower Granite State Airport,719.0,US,US-WA,
Howell Airport,150.0,US,US-WA,
Northern Lite Airport,860.0,US,US-WI,
Hawks Run Airport,2900.0,US,US-WA,
Lazy J. Aerodrome,2060.0,US,US-WV,
Mountain View Regional Hospital Heliport,5210.0,US,US-WY,
L P Askew Farms Airport,3110.0,US,US-TX,
Purkeypile Airport,1950.0,US,US-AK,
Providence Seward Medical Center Heliport,120.0,US,US-AK,
Ware Island Airport,344.0,US,US-AL,
McHone Heights Airport,610.0,US,US-AK,
DeQueen Medical Center Heliport,440.0,US,US-AR,
Yat Heliport,3300.0,US,US-AZ,
Grant Airport,815.0,US,US-MI,
SCE Lugo Substation Heliport,3733.0,US,US-CA,
Swansboro Country Airport,2594.0,US,US-CA,
Los Angeles County Sheriff's Department Heliport,300.0,US,US-CA,
St Vincent General Hospital Heliport,10175.0,US,US-CO,
Berlin Fairgrounds Heliport,60.0,US,US-CT,
Rybolt Ranch Airport,55.0,US,US-FL,
Advent Health Altamonte Springs Heliport,86.0,US,US-FL,
Cedar Knoll Flying Ranch Airport,19.0,US,US-FL,
Medical Center Heliport,319.0,US,US-GA,
The Farm Airport,375.0,US,US-GA,
Stender Airport,725.0,US,US-IA,
Lava Hot Springs Airport,5268.0,US,US-ID,
Myers Field,950.0,US,US-IN,
Hoopeston Community Memorial Hospital Heliport,583.0,US,US-IL,
Community Hospital Heliport,890.0,US,US-IN,
William E. Koenig Airport,670.0,US,US-IL,
Hilliard Airpark,59.0,US,US-FL,
Caldwell Municipal Airport,1157.0,US,US-KS,
Flying N Ranch Airport,1485.0,US,US-KS,
Lourdes Hospital Heliport,419.0,US,US-KY,
Barham Airport,90.0,US,US-LA,
Schumaier Restricted Landing Area,555.0,US,US-IL,
Country Breeze Airport,125.0,US,US-LA,
Compaq Andover Heliport,140.0,US,US-MA,
Annapolis Seaplane Base,,US,US-MD,
Saint Peter's Seaplane Base,608.0,US,US-ME,
Flow Through Terminal Heliport,736.0,US,US-MI,
Barnes Seaplane Base,1358.0,US,US-MN,
Highway Patrol Troop C Headquarters Heliport,615.0,US,US-MO,
Crystal Lakes Resort Airport,3141.0,US,US-MT,
NWMC - Houghton Heliport,2873.0,US,US-AZ,
Topsail Airpark,65.0,US,US-NC,
Detour Airport,3000.0,US,US-NE,
Moore Airfield,835.0,US,US-NH,
Albert Guido Memorial Heliport,10.0,US,US-NJ,
Champion Ranch Airport,3630.0,US,US-NM,
McGee 01 Heliport,40.0,US,US-NC,
Lantana Ranch Airport,4600.0,US,US-NV,
Vassar Hospital Heliport,100.0,US,US-NY,
Atrium Medical Center Heliport,775.0,US,US-OH,
Avita Health System Galion Hospital Heliport,1140.0,US,US-OH,
Lawrence Airport,1525.0,US,US-OK,
Spring Creek Ranch East Airport,1060.0,US,US-OK,
Red & White Flying Service Airport,4346.0,US,US-OR,
Pine Heliport,1215.0,US,US-PA,
Bierly(Personal Use) Airport,960.0,US,US-PA,
Nort's Resort Airport,1040.0,US,US-PA,
York Airport,779.0,US,US-SC,
Thirty Thirty Matlock Office Center Heliport,630.0,US,US-TX,
Smith Field,505.0,US,US-TX,
Colonial Air Park,370.0,US,US-TN,
St Joseph Hospital Heliport,675.0,US,US-TX,
Clute Fire & EMS Station #1 Heliport,7.0,US,US-TX,
Mims Farm Ultralightport,610.0,US,US-TX,
Duckwater Airport,5124.0,US,US-NV,
La Sal Junction Airport,6000.0,US,US-UT,
Pickles Airport,500.0,US,US-VA,
Willapa Harbor Heliport,154.0,US,US-WA,
Prehn Cranberry Company Airport,930.0,US,US-WI,
Whidbey General Hospital Heliport,103.0,US,US-WA,
Odyssey Heliport,20.0,US,US-WA,
Keyhole Airport,4250.0,US,US-WY,
