Country Name,Airport Name,IATA CODE
Afghanistan,Farah Airport,FAH
Afghanistan,Herat International Airport,HEA
Afghanistan,Bost Airport,BST
Afghanistan,Chaghcharan Airport,CCN
Afghanistan,Jalalabad Airport,JAA
Afghanistan,Tarinkot Airport,TII
Afghanistan,Zaranj Airport,ZAJ
Afghanistan,Mazar-I-Sharif International Airport,MZR
Afghanistan,Kabul International Airport,KBL
Afghanistan,Kandahar Airport,KDH
Albania,Tirana International Airport,TIA
Albania,Kukes International Airport,KFZ
Algeria,Djanet Inedbirene Airport,DJG
Algeria,Constantine Mohamed Boudiaf International Airport,CZL
Algeria,Chlef International Airport,CFK
Algeria,El Bayadh Airport,EBH
Algeria,Ghardaia Noumerate Airport,GHA
Algeria,El Oued Guemar Airport,ELU
Algeria,El Golea Airport,ELG
Algeria,Bordj Badji Mokhtar Airport,BMW
Algeria,Annaba Rabah Bitat Airport,AAE
Algeria,Algiers Houari Boumediene Airport,ALG
Algeria,Adrar Airport,AZR
Algeria,Batna International Airport,BLJ
Algeria,Biskra Airport,BSK
Algeria,Bejaia Soummam Airport,BJA
Algeria,Bechar Boudghene Ben Ali Lotfi Airport,CBH
Algeria,Tebessa Airport,TEE
Algeria,Tiaret Bou Chekif Airport,TID
Algeria,Setif Ain Arnat Airport,QSF
Algeria,Tamanrasset Aguenar Airport,TMR
Algeria,Tlemcen Zenata Airport,TLM
Algeria,Touggourt Sidi Mahdi Airport,TGR
Algeria,Timimoun Airport,TMX
Algeria,Tindouf Airport,TIN
Algeria,In Amenas Zarzaitine Airport,IAM
Algeria,In Guezzam Airport,INF
Algeria,Hassi Messaoud Oued Irara Airport,HME
Algeria,Illizi Takhamalt Airport,VVZ
Algeria,Oran Es Senia Airport,ORN
Algeria,Ouargla Ain Beida Airport,OGX
Algeria,Jijel Ferhat Abbas Airport,GJL
Algeria,Laghouat Airport,LOO
American Samoa,Pago Pago International Airport,PPG
Angola,Huambo Albano Machado Airport,NOV
Angola,Kuito Airport,SVP
Angola,Cabinda Airport,CAB
Angola,Catumbela Airport,CBT
Angola,Luanda Quatro de Fevereiro Airport,LAD
Angola,Saurimo Airport,VHC
Angola,Soyo Airport,SZA
Angola,Ondjiva Pereira Airport,VPE
Angola,Lubango Airport,SDD
Angola,Menongue Airport,SPP
Anguilla,The Valley Clayton J. Lloyd International Airport,AXA
Antarctica,McMurdo Phoenix Airfield,QAX
Antarctica,McMurdo Williams Field,QAW
Antarctica,McMurdo Ice Runway,QAI
Antarctica,Davis Plateau Skiway,QAD
Antarctica,King George Island Teniente R. Marsh Airport,TNM
Antarctica,Marambio Airport,QAB
Antarctica,Neumayer III Skiway,QAN
Antarctica,Troll Airfield,QAT
Antarctica,Union Glacier Runway,UGL
Antarctica,Wolfs Fang Runway,WFR
Antarctica,SANAE IV Skiway,QAS
Antarctica,Novo Runway,QAO
Antarctica,Princess Elisabeth Skiway,QAP
Antarctica,Rothera Air Facility,QAR
Antigua And Barbuda,Antigua V. C. Bird International Airport,ANU
Antigua And Barbuda,Barbuda Codrington Airport,BBQ
Argentina,Malargue Airport,LGS
Argentina,Mar del Plata Astor Piazzolla International Airport,MDQ
